                               year
Balance Rate%     1     2     3     4     5     6     7     8     9    10
  100    10     110   121   133   146   161   177   195   214   236   259
  200    10     220   242   266   293   322   354   390   429   472   519
  300    10     330   363   399   439   483   531   585   643   707   778
  400    10     440   484   532   586   644   709   779   857   943  1037
  500    10     550   605   666   732   805   886   974  1072  1179  1297
                               year
Balance Rate%     1     2     3     4     5     6     7     8     9    10
  300    12     336   376   421   472   529   592   663   743   832   932
  400    12     448   502   562   629   705   790   884   990  1109  1242
  500    12     560   627   702   787   881   987  1105  1238  1387  1553
  600    12     672   753   843   944  1057  1184  1326  1486  1664  1864
  700    12     784   878   983  1101  1234  1382  1547  1733  1941  2174
                               year
Balance Rate%     1     2     3     4     5     6     7     8     9    10
 1000     8    1080  1166  1260  1360  1469  1587  1714  1851  1999  2159
 1100     8    1188  1283  1386  1497  1616  1746  1885  2036  2199  2375
 1200     8    1296  1400  1512  1633  1763  1904  2057  2221  2399  2591
 1300     8    1404  1516  1638  1769  1910  2063  2228  2406  2599  2807
 1400     8    1512  1633  1764  1905  2057  2222  2399  2591  2799  3022
